subjectID,Sex,Age,Handedness
NDAREM703YFD,0,5.189368,100
NDARXG670HFE,0,5.198037,64.47
NDARGH790CEF,0,5.203627,90
NDARAJ689BVN,1,5.487793,46.67
NDAREF389RY2,1,5.55624,86.67
NDARGK736HF4,1,5.660848,-16.68
NDARJB027GMR,0,5.77812,73.34
NDARNZ917TDK,0,5.819644,70
NDARJB355YHK,1,5.832762,80
NDARDZ058NZN,0,6.561031,53.34
NDARAH503YG1,0,7.013347,100
NDARFV685ZT2,0,7.100387,64.47
NDARDW416KWZ,0,7.355007,84.47
NDAREL767XXM,0,7.365959,93.34
NDAREK801BPB,0,7.401893,88.94
NDARAR305LXG,0,7.407027,100
NDARCZ388PF5,1,7.532968,100
NDAREW671HZW,1,7.70819,33.35
NDAREK575JNM,1,7.768879,86.67
NDARDF568GL5,1,7.853524,46.67
NDARBJ159HXB,1,8.488478,56.67
NDARFR301KKP,1,8.784166,83.34
NDARFU444HEF,0,9.028405,93.34
NDARBL444FBA,0,9.436344,100
NDARZW472CCF,0,9.572781,93.34
NDARBE287EFC,1,9.583504,80
NDARED628HMQ,0,9.58955,-86.67
NDARDP786HE6,0,9.633013,26.68
NDARDC843HHM,0,9.759297,-40
NDAREB303XDC,1,10.104266,51.14
NDARDF373ZDW,0,10.172256,100
NDAREF848YWD,0,10.369838,6.67
NDARDZ528DLZ,0,10.454711,86.67
NDARAB055BPR,1,10.793862,60
NDARHD507TEF,0,11.053844,-6.67
NDARDZ440NGK,0,11.057152,73.34
NDARCB627KDN,0,11.17488,100
NDAREC648WEL,0,11.180355,76.67
NDARAP964VDB,0,11.229066,0
NDARAH304ED7,1,11.286675,96.67
NDARCW933FD5,1,11.333675,65.6
NDARDE681UEX,1,11.467259,81.14
NDARGK041TPB,0,11.552133,100
NDAREV527ZRF,1,11.787702,93.34
NDAREM609ZXW,0,11.97148,100
NDARAU708TL8,0,12.075062,100
NDARGA815EUZ,0,12.452886,100
NDARGJ653MG2,0,12.497262,96.67
NDAREF893ZM8,0,12.59263,53.34
NDARBX974XDR,0,12.765229,-61.14
NDARFN553LUV,0,13.381473,52.27
NDARCV628UUW,0,13.430869,86.74
NDARAT709MMX,0,13.506958,20
NDAREG013BLG,1,13.663586,95.6
NDARDN489EXJ,0,13.895847,-60
NDARDR236FWH,0,14.117955,66.67
NDARLR030EW6,0,14.233059,92.27
NDARGC255BUN,1,14.320214,88.87
NDARLJ654TZ0,0,14.511749,86.74
NDARNK322PHW,1,14.906456,100
NDARAY283AU1,0,14.963951,100
NDARHN067BTE,0,15.029774,86.67
NDARTW850GHU,0,15.336413,80
NDARDA573XGG,1,15.393908,93.34
NDARDR591AUC,0,15.730663,100
NDARER970AEF,0,15.747091,55.67
NDARCV981XUY,0,15.779374,20
